1537;519.5;360.5;mousedown
1637;519.5;360.5;mouseup
2224;350.5;415.5;mousedown
2350;349.5;415.5;mouseup
2735;327.5;526.5;mousedown
2836;327.5;526.5;mouseup
3664;601.5;583.5;mousedown
3734;601.5;583.5;mouseup
4380;512.5;431.5;mousedown
4448;512.5;431.5;mouseup
4816;510.5;370.5;mousedown
4911;510.5;370.5;mouseup
5495;324.5;495.5;mousedown
5629;324.5;495.5;mouseup
7085;76.5;437.5;mousedown
7181;76.5;437.5;mouseup
7910;624.5;526.5;mousedown
7988;624.5;526.5;mouseup
8695;347.5;338.5;mousedown
8765;347.5;338.5;mouseup
9189;396.5;431.5;mousedown
9282;396.5;431.5;mouseup
9724;341.5;493.5;mousedown
9808;341.5;493.5;mouseup
10606;456.5;590.5;mousedown
10699;456.5;590.5;mouseup
13644;499.5;356.5;mousedown
13770;500.5;356.5;mouseup
14151;443.5;418.5;mousedown
14258;443.5;418.5;mouseup
14888;312.5;534.5;mousedown
15066;312.5;534.5;mouseup
16139;71.5;434.5;mousedown
16216;71.5;434.5;mouseup
17078;585.5;499.5;mousedown
17165;585.5;499.5;mouseup
18018;361.5;413.5;mousedown
18098;361.5;413.5;mouseup
18481;503.5;413.5;mousedown
18573;503.5;413.5;mouseup
19109;320.5;515.5;mousedown
19198;320.5;515.5;mouseup
19985;609.5;517.5;mousedown
20055;609.5;517.5;mouseup
20481;534.5;444.5;mousedown
20560;534.5;444.5;mouseup
21095;363.5;569.5;mousedown
21165;363.5;569.5;mouseup
21477;362.5;508.5;mousedown
21562;362.5;507.5;mouseup
22076;511.5;603.5;mousedown
22164;511.5;603.5;mouseup
24553;395.5;432.5;mousedown
24671;395.5;432.5;mouseup
25054;345.5;495.5;mousedown
25156;345.5;495.5;mouseup
26608;264.5;331.5;mousedown
26696;263.5;331.5;mouseup
27187;435.5;503.5;mousedown
27275;435.5;503.5;mouseup
27633;484.5;503.5;mousedown
27724;484.5;503.5;mouseup
28028;406.5;504.5;mousedown
28146;406.5;504.5;mouseup
28664;370.5;504.5;mousedown
28733;369.5;504.5;mouseup
29629;47.5;480.5;mousedown
29712;47.5;480.5;mouseup
30615;587.5;511.5;mousedown
30688;587.5;511.5;mouseup
31174;332.5;509.5;mousedown
31253;332.5;509.5;mouseup
32025;482.5;372.5;mousedown
32113;482.5;372.5;mouseup
32625;364.5;527.5;mousedown
32733;364.5;527.5;mouseup
33151;486.5;601.5;mousedown
33239;486.5;601.5;mouseup
35767;428.5;426.5;mousedown
35836;428.5;426.5;mouseup
36147;428.5;539.5;mousedown
36249;428.5;539.5;mouseup
36784;344.5;520.5;mousedown
36875;344.5;520.5;mouseup
38374;170.5;439.5;mousedown
38444;170.5;439.5;mouseup
39825;598.5;413.5;mousedown
39893;598.5;413.5;mouseup
40255;522.5;489.5;mousedown
40341;522.5;489.5;mouseup
40795;340.5;444.5;mousedown
40876;340.5;444.5;mouseup
41532;338.5;509.5;mousedown
41626;338.5;509.5;mouseup
42471;589.5;568.5;mousedown
42550;589.5;568.5;mouseup
43267;448.5;505.5;mousedown
43344;448.5;505.5;mouseup
43776;329.5;533.5;mousedown
43856;329.5;533.5;mouseup
44724;472.5;604.5;mousedown
44817;472.5;604.5;mouseup
47016;488.5;443.5;mousedown
47085;488.5;443.5;mouseup
